maudytis	verb	máudytis, máudosi, máudėsi	maudytis maudausi maudaisi maudosi maudomės maudotės maudžiausi maudeisi maudėsi maudėmės maudėtės maudysiuosi maudysiesi maudysis maudysimės maudysitės maudykis maudykitės
šukuotis	verb	šukuõtis, šukúojasi, šukãvosi	šukuotis šukuojuosi šukuojiesi šukuojasi šukuojamės šukuojatės šukavausi šukavaisi šukavosi šukavomės šukavotės šukuosiuosi šukuosiesi šukuosis šukuokis šukuokitės
rengtis	verb	reñgtis, reñgiasi, reñgėsi	rengtis rengiuosi rengiesi rengiasi rengiamės rengiatės rengiausi rengeisi rengėsi rengėmės rengėtės rengsiuosi rengsiesi rengsis renkis renkitės
darželis	noun	daržẽlis / daržẽliai	darželis darželio darželiui darželį darželiu darželyje darželiai darželių darželiams darželius darželiais darželiuose
pertrauka	noun	pértrauka / pértraukos	pertrauka pertraukos pertraukai pertrauką pertrauka pertraukoje pertraukoms pertraukas pertraukomis pertraukose pertraukų
kabinetas	noun	kabinètas / kabinètai	kabinetas kabineto kabinetui kabinetą kabinetu kabinete kabinetai kabinetų kabinetams kabinetus kabinetais kabinetuose
šviesti	verb	šviẽsti, šviẽčia, šviẽtė	šviesti šviečiu švieti šviečia šviečiame šviečiate šviečiau švietei švietė švietėme švietėte šviesiu šviesi švies šviesime šviesite šviesk švieskite
atmintukas	noun	atmintùkas / atmintùkai	atmintukas atmintuko atmintukui atmintuką atmintuku atmintuke atmintukai atmintukų atmintukams atmintukus atmintukais atmintukuose
pašalpa	noun	pašalpà / pašalpõs	pašalpa pašalpos pašalpai pašalpą pašalpa pašalpoje pašalpos pašalpų pašalpoms pašalpas pašalpomis pašalpose
stipendija	noun	stipeñdija / stipeñdijos	stipendija stipendijos stipendijai stipendiją stipendija stipendijoje stipendijos stipendijų stipendijoms stipendijas stipendijomis stipendijose
atostogauti	verb	atostogáuti, atostogáuja, atostogãvo	atostogauti atostogauja atostogavo
grotuvas	noun	grotùvas / grotùvai	grotuvas grotuvo grotuvui grotuvą grotuvu grotuve grotuvai grotuvų grotuvams grotuvus grotuvais grotuvuose
baletas	noun	balètas / balètai	baletas baleto baletui baletą baletu balete baletai baletų baletams baletus baletais baletuose
spektaklis	noun	spektãklis / spektãkliai	spektaklis spektaklio spektakliui spektaklį spektakliu spektaklyje spektakliai spektaklių spektakliams spektaklius spektakliais spektakliuose
vaidinti	verb	vaidìnti, vaidìna, vaidìno	vaidinti vaidina vaidino
scena	noun	scenà / scènos	scena scenos scenai sceną scena scenoje scenos scenų scenoms scenas scenomis scenose
seansas	noun	seánsas / seánsai	seansas seanso seansui seansą seansu seanse seansai seansų seansams seansus seansais seansuose
bėgioti	verb	bėgióti, bėgiója, bėgiójo	bėgioti bėgioja bėgiojo
olimpiada	noun	olimpiadà / olimpiãdos	olimpiada olimpiados olimpiadai olimpiadą olimpiada olimpiadoje olimpiados olimpiadų olimpiadoms olimpiadas olimpiadomis olimpiadose
medalis	noun	medãlis / medãliai	medalis medalio medaliui medalį medaliu medalyje medaliai medalių medaliams medalius medaliais medaliuose
reklama	noun	reklamà / reklãmos	reklama reklamos reklamai reklamą reklama reklamoje reklamos reklamų reklamoms reklamas reklamomis reklamose
skelbimas	noun	skelbìmas / skelbìmai	skelbimas skelbimo skelbimui skelbimą skelbimu skelbime skelbimai skelbimų skelbimams skelbimus skelbimais skelbimuose
nuotrauka	noun	núotrauka / núotraukos	nuotrauka nuotraukos nuotraukai nuotrauką nuotrauka nuotraukoje nuotraukos nuotraukų nuotraukoms nuotraukas nuotraukomis nuotraukose
fotografija	noun	fotogràfija / fotogrãfijos	fotografija fotografijos fotografijai fotografiją fotografija fotografijoje fotografijos fotografijų fotografijoms fotografijas fotografijomis fotografijose
žurnalistas	noun	žurnali̇̀stas / žurnalìstai	žurnalistas žurnalisto žurnalistui žurnalistą žurnalistu žurnaliste žurnalistai žurnalistų žurnalistams žurnalistus žurnalistais žurnalistuose
kioskas	noun	kiòskas / kiòskai	kioskas kiosko kioskui kioską kiosku kioske kioskai kioskų kioskams kioskus kioskais kioskuose
tradicija	noun	tradi̇̀cija / tradìcijos	tradicija tradicijos tradicijai tradiciją tradicija tradicijoje tradicijos tradicijų tradicijoms tradicijas tradicijomis tradicijose
keltas	noun	kel̃tas / kel̃tai	keltas kelto keltui keltą keltu kelte keltai keltų keltams keltus keltais keltuose
tikrinti	verb	ti̇̀krinti, tìkrina, tìkrino	tikrinti tikrina tikrino
registracija	noun	registrãcija / registrãcijos	registracija registracijos registracijai registraciją registracija registracijoje registracijos registracijų registracijoms registracijas registracijomis registracijose
atvykimas	noun	atvykìmas / atvykìmai	atvykimas atvykimo atvykimui atvykimą atvykimu atvykime atvykimai atvykimų atvykimams atvykimus atvykimais atvykimuose
vairuotojas	noun	vairúotojas / vairúotojai	vairuotojas vairuotojo vairuotojui vairuotoją vairuotoju vairuotoje vairuotojai vairuotojų vairuotojams vairuotojus vairuotojais vairuotojuose
pažymėjimas	noun	pažymė́jimas / pažymė́jimai	pažymėjimas pažymėjimo pažymėjimui pažymėjimą pažymėjimu pažymėjime pažymėjimai pažymėjimų pažymėjimams pažymėjimus pažymėjimais pažymėjimuose
tiltas	noun	ti̇̀ltas / tìltai	tiltas tilto tiltui tiltą tiltu tilte tiltai tiltų tiltams tiltus tiltais tiltuose
perėja	noun	pérėja / pérėjos	perėja perėjos perėjai perėją perėja perėjoje perėjos perėjų perėjoms perėjas perėjomis perėjose
policija	noun	poli̇̀cija / polìcijos	policija policijos policijai policiją policija policijoje policijos policijų policijoms policijas policijomis policijose
bauda	noun	baudà / baudõs	bauda baudos baudai baudą bauda baudoje baudos baudų baudoms baudas baudomis baudose
kilometras	noun	kilomètras / kilomètrai	kilometras kilometro kilometrui kilometrą kilometru kilometre kilometrai kilometrų kilometrams kilometrus kilometrais kilometruose
ekskursija	noun	ekskùrsija / ekskùrsijos	ekskursija ekskursijos ekskursijai ekskursiją ekskursija ekskursijoje ekskursijos ekskursijų ekskursijoms ekskursijas ekskursijomis ekskursijose
turistas	noun	turìstas / turìstai	turistas turisto turistui turistą turistu turiste turistai turistų turistams turistus turistais turistuose
gidas	noun	gìdas / gìdai	gidas gido gidui gidą gidu gide gidai gidų gidams gidus gidais giduose
paminklas	noun	pamiñklas / pamiñklai	paminklas paminklo paminklui paminklą paminklu paminkle paminklai paminklų paminklams paminklus paminklais paminkluose
kempingas	noun	kem̃pingas / kem̃pingai	kempingas kempingo kempingui kempingą kempingu kempinge kempingai kempingų kempingams kempingus kempingais kempinguose
rankinė	noun	rañkinė / rañkinės	rankinė rankinės rankinei rankinę rankine rankinėje rankinės rankinių rankinėms rankines rankinėmis rankinėse
pasienis	noun	pasíenis / pasíeniai	pasienis pasienio pasieniui pasienį pasieniu pasienyje pasieniai pasienių pasieniams pasienius pasieniais pasieniuose
viza	noun	vizà / vìzos	viza vizos vizai vizą viza vizoje vizos vizų vizoms vizas vizomis vizose
muitininkas	noun	muĩtininkas / muĩtininkai	muitininkas muitininko muitininkui muitininką muitininku muitininke muitininkai muitininkų muitininkams muitininkus muitininkais muitininkuose
kortelė	noun	kortẽlė / kortẽlės	kortelė kortelės kortelei kortelę kortele kortelėje kortelės kortelių kortelėms korteles kortelėmis kortelėse
bendradarbis	noun	bendradar̃bis / bendradar̃biai	bendradarbis bendradarbio bendradarbiui bendradarbį bendradarbiu bendradarbyje bendradarbiai bendradarbių bendradarbiams bendradarbius bendradarbiais bendradarbiuose
draugauti	verb	draugáuti, draugáuja, draugãvo	draugauti draugauja draugavo
viešnia	noun	viešnià / viešniõs	viešnia viešnios viešniai viešnią viešnia viešnioje viešnios viešnių viešnioms viešnias viešniomis viešniose
pasimatymas	noun	pasimãtymas / pasimãtymai	pasimatymas pasimatymo pasimatymui pasimatymą pasimatymu pasimatyme pasimatymai pasimatymų pasimatymams pasimatymus pasimatymais pasimatymuose
pasakoti	verb	pãsakoti, pãsakoja, pãsakojo	pasakoti pasakoja pasakojo
paštas	noun	pãštas / pãštai	paštas pašto paštui paštą paštu pašte paštai paštų paštams paštus paštais paštuose
atvirukas	noun	atvirùkas / atvirùkai	atvirukas atviruko atvirukui atviruką atviruku atviruke atvirukai atvirukų atvirukams atvirukus atvirukais atvirukuose
gauti	verb	gáuti, gáuna, gãvo	gauti gaunu gauni gauna gauname gaunate gavau gavai gavo gavome gavote
vyriausybė	noun	vyriausýbė / vyriausýbės	vyriausybė vyriausybės vyriausybei vyriausybę vyriausybe vyriausybėje vyriausybės vyriausybių vyriausybėms vyriausybes vyriausybėmis vyriausybėse
terorizmas	noun	terorìzmas / terorizmai	terorizmas terorizmo terorizmui terorizmą terorizmu terorizme terorizmai terorizmų terorizmams terorizmus terorizmais terorizmuose
notaras	noun	notãras / notãrai	notaras notaro notarui notarą notaru notare notarai notarų notarams notarus notarais notaruose
taika	noun	taikà / taikõs	taika taikos taikai taiką taika taikoje taikos taikų taikoms taikas taikomis taikose
konfliktas	noun	konflìktas / konflìktai	konfliktas konflikto konfliktui konfliktą konfliktu konflikte konfliktai konfliktų konfliktams konfliktus konfliktais konfliktuose
šautuvas	noun	šáutuvas / šáutuvai	šautuvas šautuvo šautuvui šautuvą šautuvu šautuve šautuvai šautuvų šautuvams šautuvus šautuvais šautuvuose
kremas	noun	krèmas / krèmai	kremas kremo kremui kremą kremu kreme kremai kremų kremams kremus kremais kremuose
skalbykla	noun	skalbyklà / skalbỹklos	skalbykla skalbyklos skalbyklai skalbyklą skalbykla skalbykloje skalbyklos skalbyklų skalbykloms skalbyklas skalbyklomis skalbyklose
sveikata	noun	sveikatà / sveikãtos	sveikata sveikatos sveikatai sveikatą sveikata sveikatoje sveikatos sveikatų sveikatoms sveikatas sveikatomis sveikatose
ligonis	noun	ligónis / ligóniai	ligonis ligonio ligoniui ligonį ligoniu ligonyje ligoniai ligonių ligoniams ligonius ligoniais ligoniuose
gripas	noun	grìpas / grìpai	gripas gripo gripui gripą gripu gripe gripai gripų gripams gripus gripais gripuose
angina	noun	anginà / angìnos	angina anginos anginai anginą angina anginoje anginos anginų anginoms anginas anginomis anginose
uždegimas	noun	uždegìmas / uždegìmai	uždegimas uždegimo uždegimui uždegimą uždegimu uždegime uždegimai uždegimų uždegimams uždegimus uždegimais uždegimuose
operacija	noun	operãcija / operãcijos	operacija operacijos operacijai operaciją operacija operacijoje operacijos operacijų operacijoms operacijas operacijomis operacijose
epidemija	noun	epidèmija / epidèmijos	epidemija epidemijos epidemijai epidemiją epidemija epidemijoje epidemijos epidemijų epidemijoms epidemijas epidemijomis epidemijose
odontologas	noun	odontològas / odontològai	odontologas odontologo odontologui odontologą odontologu odontologe odontologai odontologų odontologams odontologus odontologais odontologuose
chirurgas	noun	chirùrgas / chirùrgai	chirurgas chirurgo chirurgui chirurgą chirurgu chirurge chirurgai chirurgų chirurgams chirurgus chirurgais chirurguose
slaugytojas	noun	slaugýtojas / slaugýtojai	slaugytojas slaugytojo slaugytojui slaugytoją slaugytoju slaugytoje slaugytojai slaugytojų slaugytojams slaugytojus slaugytojais slaugytojuose
vaistininkas	noun	váistininkas / váistininkai	vaistininkas vaistininko vaistininkui vaistininką vaistininku vaistininke vaistininkai vaistininkų vaistininkams vaistininkus vaistininkais vaistininkuose
receptas	noun	recèptas / recèptai	receptas recepto receptui receptą receptu recepte receptai receptų receptams receptus receptais receptuose
kapsulė	noun	kãpsulė / kãpsulės	kapsulė kapsulės kapsulei kapsulę kapsule kapsulėje kapsulės kapsulių kapsulėms kapsules kapsulėmis kapsulėse
injekcija	noun	injèkcija / injèkcijos	injekcija injekcijos injekcijai injekciją injekcija injekcijoje injekcijos injekcijų injekcijoms injekcijas injekcijomis injekcijose
tepalas	noun	tẽpalas / tepalaĩ	tepalas tepalo tepalui tepalą tepalu tepale tepalai tepalų tepalams tepalus tepalais tepaluose
švirkštas	noun	švir̃kštas / švir̃kštai	švirkštas švirkšto švirkštui švirkštą švirkštu švirkšte švirkštai švirkštų švirkštams švirkštus švirkštais švirkštuose
ampulė	noun	ámpulė / ámpulės	ampulė ampulės ampulei ampulę ampule ampulėje ampulės ampulių ampulėms ampules ampulėmis ampulėse
klinika	noun	klìnika / klìnikos	klinika klinikos klinikai kliniką klinika klinikoje klinikos klinikų klinikoms klinikas klinikomis klinikose
sanatorija	noun	sanatòrija / sanatòrijos	sanatorija sanatorijos sanatorijai sanatoriją sanatorija sanatorijoje sanatorijos sanatorijų sanatorijoms sanatorijas sanatorijomis sanatorijose
registratūra	noun	registratūrà / registratū̃ros	registratūra registratūros registratūrai registratūrą registratūra registratūroje registratūros registratūrų registratūroms registratūras registratūromis registratūrose
palata	noun	palatà / palãtos	palata palatos palatai palatą palata palatoje palatos palatų palatoms palatas palatomis palatose
optika	noun	òptika / òptikos	optika optikos optikai optiką optika optikoje optikos optikų optikoms optikas optikomis optikose
ragauti	verb	ragáuti, ragáuja, ragãvo	ragauti ragauja ragavo
rakinti	verb	rakìnti, rakìna, rakìno	rakinti rakina rakino
kursas	noun	kùrsas / kùrsai	kursas kurso kursui kursą kursu kurse kursai kursų kursams kursus kursais kursuose
trimestras	noun	trimèstras / trimèstrai	trimestras trimestro trimestrui trimestrą trimestru trimestre trimestrai trimestrų trimestrams trimestrus trimestrais trimestruose
auklėtojas	noun	áuklėtojas / áuklėtojai	auklėtojas auklėtojo auklėtojui auklėtoją auklėtoju auklėtoje auklėtojai auklėtojų auklėtojams auklėtojus auklėtojais auklėtojuose
matematika	noun	matemãtika / matemãtikos	matematika matematikos matematikai matematiką matematika matematikoje matematikos matematikų matematikoms matematikas matematikomis matematikose
sąsiuvinis	noun	są́siuvinis / są́siuviniai	sąsiuvinis sąsiuvinio sąsiuviniui sąsiuvinį sąsiuviniu sąsiuvinyje sąsiuviniai sąsiuvinių sąsiuviniams sąsiuvinius sąsiuviniais sąsiuviniuose
pratimas	noun	pratìmas / pratìmai	pratimas pratimo pratimui pratimą pratimu pratime pratimai pratimų pratimams pratimus pratimais pratimuose
testas	noun	tèstas / tèstai	testas testo testui testą testu teste testai testų testams testus testais testuose
sesija	noun	sèsija / sèsijos	sesija sesijos sesijai sesiją sesija sesijoje sesijos sesijų sesijoms sesijas sesijomis sesijose
diplomas	noun	diplòmas / diplòmai	diplomas diplomo diplomui diplomą diplomu diplome diplomai diplomų diplomams diplomus diplomais diplomuose
knygynas	noun	knygýnas / knygýnai	knygynas knygyno knygynui knygyną knygynu knygyne knygynai knygynų knygynams knygynus knygynais knygynuose
grąža	noun	grąžà / grąžõs	grąža grąžos grąžai grąžą grąža grąžoje grąžos grąžų grąžoms grąžas grąžomis grąžose
instrukcija	noun	instrùkcija / instrùkcijos	instrukcija instrukcijos instrukcijai instrukciją instrukcija instrukcijoje instrukcijos instrukcijų instrukcijoms instrukcijas instrukcijomis instrukcijose
kostiumas	noun	kostiùmas / kostiùmai	kostiumas kostiumo kostiumui kostiumą kostiumu kostiume kostiumai kostiumų kostiumams kostiumus kostiumais kostiumuose
megztinis	noun	megztìnis / megztìniai	megztinis megztinio megztiniui megztinį megztiniu megztinyje megztiniai megztinių megztiniams megztinius megztiniais megztiniuose
striukė	noun	striùkė / striùkės	striukė striukės striukei striukę striuke striukėje striukės striukių striukėms striukes striukėmis striukėse
suknelė	noun	suknẽlė / suknẽlės	suknelė suknelės suknelei suknelę suknele suknelėje suknelės suknelių suknelėms sukneles suknelėmis suknelėse
švarkas	noun	švar̃kas / švarkaĩ	švarkas švarko švarkui švarką švarku švarke švarkai švarkų švarkams švarkus švarkais švarkuose
užtrauktukas	noun	užtrauktùkas / užtrauktùkai	užtrauktukas užtrauktuko užtrauktukui užtrauktuką užtrauktuku užtrauktuke užtrauktukai užtrauktukų užtrauktukams užtrauktukus užtrauktukais užtrauktukuose
piniginė	noun	pinigìnė / pinigìnės	piniginė piniginės piniginei piniginę pinigine piniginėje piniginės piniginių piniginėms pinigines piniginėmis piniginėse
grandinėlė	noun	grandinė̃lė / grandinė̃lės	grandinėlė grandinėlės grandinėlei grandinėlę grandinėle grandinėlėje grandinėlės grandinėlių grandinėlėms grandinėles grandinėlėmis grandinėlėse
nešioti	verb	nešióti, nešiója, nešiójo	nešioti nešioja nešiojo
mada	noun	madà / madõs	mada mados madai madą mada madoje mados madų madoms madas madomis madose
šaukštelis	noun	šaukštẽlis / šaukštẽliai	šaukštelis šaukštelio šaukšteliui šaukštelį šaukšteliu šaukštelyje šaukšteliai šaukštelių šaukšteliams šaukštelius šaukšteliais šaukšteliuose
keptuvė	noun	keptùvė / keptùvės	keptuvė keptuvės keptuvei keptuvę keptuve keptuvėje keptuvės keptuvių keptuvėms keptuves keptuvėmis keptuvėse
stiklainis	noun	stiklaĩnis / stiklaĩniai	stiklainis stiklainio stiklainiui stiklainį stiklainiu stiklainyje stiklainiai stiklainių stiklainiams stiklainius stiklainiais stiklainiuose
staltiesė	noun	stáltiesė / stáltiesės	staltiesė staltiesės staltiesei staltiesę staltiese staltiesėje staltiesės staltiesių staltiesėms staltieses staltiesėmis staltiesėse
servetėlė	noun	servetė̃lė / servetė̃lės	servetėlė servetėlės servetėlei servetėlę servetėle servetėlėje servetėlės servetėlių servetėlėms servetėles servetėlėmis servetėlėse
vaza	noun	vazà / vãzos	vaza vazos vazai vazą vaza vazoje vazos vazų vazoms vazas vazomis vazose
tušinukas	noun	tušinùkas / tušinùkai	tušinukas tušinuko tušinukui tušinuką tušinuku tušinuke tušinukai tušinukų tušinukams tušinukus tušinukais tušinukuose
flomasteris	noun	flomãsteris / flomãsteriai	flomasteris flomasterio flomasteriui flomasterį flomasteriu flomasteryje flomasteriai flomasterių flomasteriams flomasterius flomasteriais flomasteriuose
parkeris	noun	párkeris / párkeriai	parkeris parkerio parkeriui parkerį parkeriu parkeryje parkeriai parkerių parkeriams parkerius parkeriais parkeriuose
indelis	noun	indẽlis / indẽliai	indelis indelio indeliui indelį indeliu indelyje indeliai indelių indeliams indelius indeliais indeliuose
valgis	noun	val̃gis / val̃giai	valgis valgio valgiui valgį valgiu valgyje valgiai valgių valgiams valgius valgiais valgiuose
kiaušinienė	noun	kiaušiniẽnė / kiaušiniẽnės	kiaušinienė kiaušinienės kiaušinienei kiaušinienę kiaušiniene kiaušinienėje kiaušinienės kiaušinienių kiaušinienėms kiaušinienes kiaušinienėmis kiaušinienėse
omletas	noun	omlètas / omlètai	omletas omleto omletui omletą omletu omlete omletai omletų omletams omletus omletais omletuose
kodas	noun	kòdas / kòdai	kodas kodo kodui kodą kodu kode kodai kodų kodams kodus kodais koduose
terminalas	noun	terminãlas / terminãlai	terminalas terminalo terminalui terminalą terminalu terminale terminalai terminalų terminalams terminalus terminalais terminaluose
bankomatas	noun	bankomãtas / bankomãtai	bankomatas bankomato bankomatui bankomatą bankomatu bankomate bankomatai bankomatų bankomatams bankomatus bankomatais bankomatuose
valiuta	noun	valiutà / valiùtos	valiuta valiutos valiutai valiutą valiuta valiutoje valiutos valiutų valiutoms valiutas valiutomis valiutose
nuovada	noun	núovada / núovados	nuovada nuovados nuovadai nuovadą nuovada nuovadoje nuovados nuovadų nuovadoms nuovadas nuovadomis nuovadose
siuvykla	noun	siuvyklà / siuvỹklos	siuvykla siuvyklos siuvyklai siuvyklą siuvykla siuvykloje siuvyklos siuvyklų siuvykloms siuvyklas siuvyklomis siuvyklose
taisykla	noun	taisyklà / taisỹklos	taisykla taisyklos taisyklai taisyklą taisykla taisykloje taisyklos taisyklų taisykloms taisyklas taisyklomis taisyklose
valykla	noun	valyklà / valỹklos	valykla valyklos valyklai valyklą valykla valykloje valyklos valyklų valykloms valyklas valyklomis valyklose
autoservisas	noun	autoser̃visas / autoser̃visai	autoservisas autoserviso autoservisui autoservisą autoservisu autoservise autoservisai autoservisų autoservisams autoservisus autoservisais autoservisuose
padanga	noun	padangà / padangõs	padanga padangos padangai padangą padanga padangoje padangos padangų padangoms padangas padangomis padangose
degalinė	noun	degalìnė / degalìnės	degalinė degalinės degalinei degalinę degaline degalinėje degalinės degalinių degalinėms degalines degalinėmis degalinėse
benzinas	noun	benzìnas / benzìnai	benzinas benzino benzinui benziną benzinu benzine benzinai benzinų benzinams benzinus benzinais benzinuose
plovykla	noun	plovyklà / plovỹklos	plovykla plovyklos plovyklai plovyklą plovykla plovykloje plovyklos plovyklų plovykloms plovyklas plovyklomis plovyklose
antakis	noun	añtakis / añtakiai	antakis antakio antakiui antakį antakiu antakyje antakiai antakių antakiams antakius antakiais antakiuose
antra	noun	antrà / antrõs	antra antros antrai antrą antra antroje antros antrų antroms antras antromis antrose
audra	noun	áudra / audrõs	audra audros audrai audrą audra audroje audros audrų audroms audras audromis audrose
baklažanas	noun	baklažãnas / baklažãnai	baklažanas baklažano baklažanui baklažaną baklažanu baklažane baklažanai baklažanų baklažanams baklažanus baklažanais baklažanuose
baravykas	noun	baravỹkas / baravỹkai	baravykas baravyko baravykui baravyką baravyku baravyke baravykai baravykų baravykams baravykus baravykais baravykuose
galvoti	verb	galvóti, galvója, galvójo	galvoti galvoja galvojo
gira	noun	girà / girõs	gira giros girai girą gira giroje giros girų giroms giras giromis girose
jogurtas	noun	jogùrtas / jogurtai	jogurtas jogurto jogurtui jogurtą jogurtu jogurte jogurtai jogurtų jogurtams jogurtus jogurtais jogurtuose
kailis	noun	káilis / káiliai	kailis kailio kailiui kailį kailiu kailyje kailiai kailių kailiams kailius kailiais kailiuose
kakava	noun	kakavà / kakãvos	kakava kakavos kakavai kakavą kakava kakavoje kakavos kakavų kakavoms kakavas kakavomis kakavose
kakta	noun	kaktà / kaktõs	kakta kaktos kaktai kaktą kakta kaktoje kaktos kaktų kaktoms kaktas kaktomis kaktose
kamienas	noun	kamíenas / kamíenai	kamienas kamieno kamienui kamieną kamienu kamiene kamienai kamienų kamienams kamienus kamienais kamienuose
kibiras	noun	kìbiras / kibiraĩ	kibiras kibiro kibirui kibirą kibiru kibire kibirai kibirų kibirams kibirus kibirais kibiruose
latvis	noun	lãtvis / lãtviai	latvis latvio latviui latvį latviu latvyje latviai latvių latviams latvius latviais latviuose
lašiša	noun	lašišà / lašìšos	lašiša lašišos lašišai lašišą lašiša lašišoje lašišos lašišų lašišoms lašišas lašišomis lašišose
lyginti	verb	lýginti, lýgina, lýgino	lyginti lygina lygino
medus	noun	medùs / mẽdūs	medus medaus medui medų medumi meduje medūs medų medums medus medumis meduose
miegmaišis	noun	miẽgmaišis / miẽgmaišiai	miegmaišis miegmaišio miegmaišiui miegmaišį miegmaišiu miegmaišyje miegmaišiai miegmaišių miegmaišiams miegmaišius miegmaišiais miegmaišiuose
ministerija	noun	ministèrija / ministèrijos	ministerija ministerijos ministerijai ministeriją ministerija ministerijoje ministerijos ministerijų ministerijoms ministerijas ministerijomis ministerijose
musmirė	noun	mùsmirė / mùsmirės	musmirė musmirės musmirei musmirę musmire musmirėje musmirės musmirių musmirėms musmires musmirėmis musmirėse
padavėja	noun	padavė́ja / padavė́jos	padavėja padavėjos padavėjai padavėją padavėja padavėjoje padavėjos padavėjų padavėjoms padavėjas padavėjomis padavėjose
para	noun	parà / parõs	para paros parai parą para paroje paros parų paroms paras paromis parose
paroda	noun	parodà / parodõs	paroda parodos parodai parodą paroda parodoje parodos parodų parodoms parodas parodomis parodose
pirma	noun	pirmà / pirmõs	pirma pirmos pirmai pirmą pirma pirmoje pirmos pirmų pirmoms pirmas pirmomis pirmose
pižama	noun	pižamà / pižãmos	pižama pižamos pižamai pižamą pižama pižamoje pižamos pižamų pižamoms pižamas pižamomis pižamose
pyragas	noun	pyrãgas / pyrãgai	pyragas pyrago pyragui pyragą pyragu pyrage pyragai pyragų pyragams pyragus pyragais pyraguose
pėda	noun	pėdà / pėdõs	pėda pėdos pėdai pėdą pėda pėdoje pėdos pėdų pėdoms pėdas pėdomis pėdose
rumunas	noun	rumùnas / rumùnai	rumunas rumuno rumunui rumuną rumunu rumune rumunai rumunų rumunams rumunus rumunais rumunuose
rūsys	noun	rūsỹs / rūsiaĩ	rūsys rūsio rūsiui rūsį rūsiu rūsyje rūsiai rūsių rūsiams rūsius rūsiais rūsiuose
rūta	noun	rūtà / rū̃tos	rūta rūtos rūtai rūtą rūta rūtoje rūtos rūtų rūtoms rūtas rūtomis rūtose
saga	noun	sagà / sãgos	saga sagos sagai sagą saga sagoje sagos sagų sagoms sagas sagomis sagose
